date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:43:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:26%20GMT	https://sophiehustin.com/?p=396	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index2e25.html	(from https://sophiehustin.com/sculptures/recherche)
12:43:27	23815/23815	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:27%20GMT	https://sophiehustin.com/sculptures/serie-a-la-fenetre	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/sculptures/serie-a-la-fenetre.html	(from https://sophiehustin.com/sculptures/recherche)
12:43:27	105698/105698	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:01:19%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/pions-150x150.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/pions-150x150.jpg	(from https://sophiehustin.com/peintures/pions)
12:43:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:27%20GMT	https://sophiehustin.com/?p=265	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/indexc61d.html	(from https://sophiehustin.com/peintures/pions)
12:43:28	23535/23535	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:28%20GMT	https://sophiehustin.com/peintures/on-sy-attendait	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/on-sy-attendait.html	(from https://sophiehustin.com/peintures/pions)
12:43:28	21233/21233	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2008:59:26%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/a-la-fenetre-family.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/a-la-fenetre-family.jpg	(from https://sophiehustin.com/sculptures/serie-a-la-fenetre)
12:43:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:28%20GMT	https://sophiehustin.com/?p=388	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index42a9.html	(from https://sophiehustin.com/sculptures/serie-a-la-fenetre)
12:43:29	56119/56119	---M--	200	added ('OK')	image/jpeg	date:Fri,%2022%20Sep%202017%2009:01:08%20GMT	https://sophiehustin.com/wp-content/uploads/2017/09/ON-SY-ATTENDAIT-2-130x89.jpg	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/wp-content/uploads/2017/09/ON-SY-ATTENDAIT-2-130x89.jpg	(from https://sophiehustin.com/peintures/on-sy-attendait)
12:43:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2007:43:29%20GMT	https://sophiehustin.com/?p=263	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/index8fee.html	(from https://sophiehustin.com/peintures/on-sy-attendait)
12:43:29	23522/23522	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jul%202026%2007:43:29%20GMT	https://sophiehustin.com/peintures/home-sweet-home	D:/React%20projects/marigold%20akufo-addo/Reference%20data/MariGold/sophiehustin.com/peintures/home-sweet-home.html	(from https://sophiehustin.com/peintures/on-sy-attendait)
